player_id,tlpd_id,birthday
64,3817,
78,2796,
84,3601,
130,3263,
135,4079,
148,2893,
150,2485,1988-09-13
159,1810,
162,1698,
167,2071,1988-11-07
182,1134,1988-10-28
201,2517,
202,2008,
204,1818,
211,1272,
212,2180,
213,3814,
215,3837,
217,2766,1990-01-20
222,3344,
229,3888,
254,3819,
256,4024,1994-07-07
260,3341,
266,2224,1989-05-27
270,1577,
275,2793,1992-07-17
278,-1,
281,2876,
282,1625,1987-12-23
286,2806,1988-08-26
288,1138,
289,2176,1990-12-16
290,2609,1988-07-25
292,4135,
296,2050,1986-08-14
299,2623,
301,1753,1990-08-08
302,2006,1989-08-28
303,1275,1990-01-28
304,2263,1990-07-16
305,2139,1992-04-24
306,1618,1987-06-17
307,2043,1989-12-03
308,1684,1986-10-17
311,2502,
312,4250,
319,3209,
320,1745,
325,1750,1986-12-06
326,2041,
328,1743,
329,3094,1993-12-23
330,3370,
331,4566,
332,1656,1982-12-27
333,2653,1986-05-09
334,2392,1988-04-26
335,1752,1990-10-08
337,2296,1987-10-27
340,4097,
342,1737,1988-02-28
343,1269,1988-05-03
344,2430,
345,1682,1988-03-09
347,2217,1985-06-12
348,2182,1988-08-26
351,1425,1989-10-09
354,4146,
356,3336,
359,1253,1993-05-18
360,3506,1993-06-19
361,1723,
362,2734,1994-02-19
366,2725,
367,1278,
369,2133,1991-09-13
371,4592,
372,1279,1988-07-30
373,1801,
375,1904,1991-04-04
378,2173,
379,4711,1988-09-29
382,2484,1995-02-05
384,4386,
385,-1,
386,1597,
389,2992,1989-04-29
391,1695,1989-08-21
392,3001,
394,2214,1988-12-13
395,1761,1984-08-05
396,3157,
397,1999,1987-09-01
398,3893,1994-08-16
404,1157,
406,1722,1991-05-13
408,3063,
409,2082,
411,3177,1993-08-19
412,-1,1985-11-30
413,2771,1989-06-28
416,4076,
417,1346,1986-04-21
418,2114,
419,1898,1989-02-08
420,1662,1987-06-28
421,3470,
424,1866,1989-05-18
425,2531,
427,2551,1987-03-22
428,2997,
435,3162,1993-09-29
438,2998,
439,2197,
443,2370,1991-11-14
446,1156,1986-12-12
447,1738,
448,2080,1993-08-11
449,4518,1990-08-11
454,2639,
455,2020,
456,3521,1993-10-27
460,1714,1988-09-20
461,3066,1993-09-04
462,2115,1995-08-05
463,4169,
465,4232,
467,1249,1984-05-05
468,2075,
469,1820,
471,2375,1990-03-14
472,2023,
473,1834,
474,1924,1990-08-31
475,1715,
476,4539,
482,4547,
483,3490,
488,3343,1988-01-07
489,2664,
490,4676,
491,2251,
497,3247,1990-07-05
498,3811,
500,2302,1992-05-18
505,4726,
508,2129,
509,2011,1986-01-14
511,1639,1990-10-27
513,1696,1988-06-13
514,2835,
515,2995,1992-07-29
516,2249,1989-05-12
517,2846,
